SNMP table: SNMPv2-MIB::sysORTable

sysORID,sysORDescr,sysORUpTime
SNMP-FRAMEWORK-MIB::snmpFrameworkMIBCompliance,The SNMP Management Architecture MIB.,0:0:00:00.00
SNMP-MPD-MIB::snmpMPDCompliance,The MIB for Message Processing and Dispatching.,0:0:00:00.00
SNMP-USER-BASED-SM-MIB::usmMIBCompliance,The management information definitions for the SNMP User-based Security Model.,0:0:00:00.00
SNMPv2-MIB::snmpMIB,The MIB module for SNMPv2 entities,0:0:00:00.00
SNMP-VIEW-BASED-ACM-MIB::vacmBasicGroup,View-based Access Control Model for SNMP.,0:0:00:00.00
SNMP-NOTIFICATION-MIB::snmpNotifyFullCompliance,The MIB modules for managing SNMP Notification, plus filtering.,0:0:00:00.00
NOTIFICATION-LOG-MIB::notificationLogMIB,The MIB module for logging SNMP Notifications.,0:0:00:00.00
